Laplacian_1,Laplacian_2,Laplacian_3,class
-18307.396484,-10544.632813,-3995.157715,0
-18157.050781,-8218.753906,-3915.805176,0
-17979.220703,-10597.568359,-4021.267578,0
-16726.443359,-8529.770508,-4134.286133,0
-15445.298828,-11360.029297,-4236.542969,0
-14909.513672,-11395.734375,-4279.195801,0
-14899.924805,-11431.713867,-4254.986328,0
-13985.171875,-10469.30957,-4056.121094,0
-13964.136719,-10617.135742,-4157.559082,0
-13744.6875,-10643.708984,-4184.033691,0
-13543.158203,-10531.524414,-4096.802246,0
-13296.279297,-9305.382813,-4334.834473,0
-11788.168945,-10454.848633,-4681.301758,0
-10831.130859,-12242.59375,-4530.229004,0
-10254.935547,-11184.617188,-4411.63916,0
-8885.28125,-10884.342773,-4990.942871,0
-8827.320313,-10222.927734,-4771.110352,0
-7197.97168,-10520.697266,-4877.228516,0
-4419.584961,-11811.461914,-4634.904785,0
-4168.266602,-12039.469727,-4748.020996,0
-2793.759277,-10786.484375,-5301.008789,0
-2767.859375,-10976.603516,-5344.402344,0
-2738.545898,-10721.694336,-5271.091797,0
-1499.219971,-12430.149414,-5008.31543,0
-1093.422363,-10994.109375,-5605.545898,0
0.000284,68.552032,448.81897,1
0.009155,128.411728,532.176453,1
0.01117,139.010178,532.424255,1
0.117365,246.66713,612.549255,1
0.213746,241.945007,600.9245,1
0.31135,242.717865,614.417725,1
0.931603,399.60141,686.25824,1
1.038242,289.381226,586.827148,1
3.874122,417.464081,683.753906,1
4.242142,579.17981,750.35083,1
4.273129,407.237671,670.493774,1
5.13714,508.369995,721.431152,1
7.177595,453.493225,643.039917,1
24.084923,632.445801,734.481445,1
29.593525,733.186279,769.206909,1
30.055321,645.57312,687.520935,1
38.383209,640.609619,709.188782,1
59.724773,1076.933838,892.521301,1
79.434418,832.070129,723.939087,1
85.608307,846.084106,773.489929,1
87.105705,1226.38916,908.256531,1
89.749924,1163.341187,862.835266,1
116.821785,1297.857056,905.351929,1
119.09346,1276.125244,890.043762,1
150.21814,1296.292725,862.768188,1
186.109894,898.846069,710.879944,1
196.210938,1004.288757,759.745056,1
229.864456,1431.350342,885.470947,1
240.417206,1433.720947,876.7771,1
276.266663,1478.718506,883.026794,1
392.690552,1092.636353,625.419678,1
463.681732,1358.105835,766.715515,1
580.529175,1354.705444,697.426758,1
644.883179,1434.744141,737.282959,1
696.529419,1431.715454,712.448181,1
765.009705,1238.134277,686.46228,1
1610.644531,1773.773926,667.482666,1
1619.236572,1745.760254,656.571899,1
1834.432617,1781.657104,646.598022,1
3084.887207,4195.878418,1118.242065,1
3098.373779,1482.510498,354.166077,1
3317.218506,1458.032227,312.011383,1
3327.479492,4066.260986,1080.119141,1
4141.408203,4066.540039,1022.048096,1
5336.141113,3686.858154,915.160278,1
6501.921875,3222.338623,785.928345,1
8160.933594,2168.044189,352.431519,1
